,49301,49306,49315,49316,49321,49341,49345,49348,49401,49404,49418,49426,49428,49464,49468,49503,49504,49505,49506,49507,49508,49509,49512,49519,49525,49534,49544,49546,49548
2013,4.7,7.1,8.1,6.4,13.4,7.8,14.3,8.2,3.9,11.3,10.9,4.6,8.1,6.6,,14.2,13.9,14.0,10.8,26.0,17.7,15.4,11.7,11.5,11.9,7.2,12.3,9.0,16.1
2014,4.5,5.8,8.2,6.4,12.7,7.6,16.0,8.2,5.6,11.8,11.8,4.6,7.5,6.0,,13.5,12.7,14.0,11.2,26.2,18.3,15.1,12.7,13.4,11.1,8.2,11.5,9.1,15.4
2015,4.5,6.1,9.0,8.1,13.0,7.3,17.2,8.8,6.1,12.3,11.0,4.7,7.4,6.5,,13.2,12.3,14.3,10.2,27.2,17.3,13.7,12.4,13.6,10.3,7.5,12.2,9.3,17.5
2016,6.0,5.5,7.9,7.0,12.6,6.0,16.9,9.3,5.8,12.5,10.1,5.7,6.5,7.2,,12.1,13.3,13.2,11.4,26.6,17.4,14.2,14.4,14.3,10.6,7.7,13.3,9.4,18.8
2017,5.9,4.9,7.3,4.9,11.4,5.3,14.4,8.2,6.2,12.2,9.7,5.8,6.1,7.5,,11.7,12.7,13.0,10.5,25.3,16.1,15.4,12.3,13.8,10.5,7.6,11.1,8.5,20.2
2018,4.8,7.0,6.0,4.4,10.6,6.3,13.0,10.7,6.9,8.9,9.5,5.3,6.8,7.7,,10.8,13.5,12.9,8.6,25.2,15.4,15.1,12.9,15.6,9.0,7.4,9.2,9.0,20.3
2019,4.9,8.2,6.2,5.0,10.7,6.5,10.8,13.1,6.8,9.6,8.7,5.9,6.1,7.3,,10.3,13.0,11.6,8.1,22.9,15.1,15.5,12.7,12.7,9.2,7.0,11.4,8.6,20.9
2020,4.4,9.8,4.0,6.6,10.8,7.1,11.3,11.9,6.4,9.6,7.7,5.7,6.0,6.5,,8.9,11.1,13.1,8.0,21.9,16.0,15.4,10.6,10.2,10.4,7.2,8.1,6.9,20.3
