,49301,49306,49315,49316,49321,49341,49345,49348,49401,49404,49418,49426,49428,49464,49468,49503,49504,49505,49506,49507,49508,49509,49512,49519,49525,49534,49544,49546,49548
2013,11.5,19.4,19.8,20.3,31.7,20.4,26.6,26.4,47.9,22.4,25.9,15.2,23.8,18.4,,56.3,42.8,39.9,34.9,32.4,31.2,32.0,43.2,39.5,32.4,34.6,43.5,32.6,34.2
2014,11.9,22.6,19.4,18.5,31.4,19.4,24.6,26.5,47.9,24.0,26.8,15.0,23.6,18.8,,55.7,43.8,42.5,36.3,32.3,31.4,34.5,43.6,36.8,32.9,36.9,43.5,31.2,36.3
2015,12.8,20.8,19.0,19.5,32.1,20.8,25.5,25.3,47.1,25.2,28.2,16.3,24.4,20.8,,57.9,44.2,44.0,35.0,33.4,31.9,36.1,44.2,37.0,32.5,37.4,41.1,30.8,34.6
2016,13.0,20.1,20.2,19.8,33.9,20.4,26.0,25.5,47.8,25.2,29.4,17.8,24.4,19.7,,59.0,43.8,42.8,35.8,33.2,32.8,36.7,43.3,37.3,30.9,36.9,40.4,31.6,33.6
2017,13.2,20.3,21.1,18.4,33.1,18.7,24.2,27.5,48.2,25.4,29.1,17.3,23.3,20.0,,57.9,45.1,43.3,33.5,34.2,32.6,36.3,45.4,36.7,31.8,37.3,40.9,33.0,33.1
2018,12.8,21.2,22.2,20.2,33.9,19.2,22.5,27.7,47.5,24.9,29.5,17.7,23.9,20.5,,58.1,43.8,43.9,35.1,32.0,32.5,35.0,46.9,36.6,32.3,36.9,39.1,34.2,34.2
2019,13.2,21.4,22.8,19.5,35.6,19.4,22.0,27.3,49.2,24.3,28.5,17.6,25.1,24.0,,58.7,44.5,43.8,33.5,33.1,32.5,33.8,45.3,38.5,32.5,35.8,37.2,36.7,32.0
2020,11.3,22.0,24.5,20.2,35.5,17.9,24.2,28.0,47.3,24.0,29.8,16.7,24.9,21.3,,57.0,48.0,41.3,32.9,33.2,33.0,32.2,48.7,38.7,27.5,32.8,42.6,35.7,30.5
