,49301,49306,49315,49316,49321,49341,49345,49348,49401,49404,49418,49426,49428,49464,49468,49503,49504,49505,49506,49507,49508,49509,49512,49519,49525,49534,49544,49546,49548
2013,2.6,3.0,2.2,2.9,5.0,2.5,5.5,4.7,2.8,4.1,4.5,2.7,2.0,3.4,,4.8,4.8,5.2,3.7,5.9,3.6,6.4,4.7,4.0,2.8,3.2,5.9,3.3,6.2
2014,2.9,4.1,3.0,1.4,5.5,3.1,5.6,4.3,3.1,4.8,3.9,2.9,2.0,3.0,,6.0,4.2,3.8,3.2,5.6,3.7,7.5,4.6,4.0,3.1,2.5,6.0,3.1,6.2
2015,2.5,3.5,4.3,1.5,6.9,3.2,5.5,3.2,3.1,4.1,4.0,3.1,1.7,3.0,,5.2,4.6,3.6,2.6,5.7,4.3,8.0,4.2,3.7,3.1,2.6,5.7,3.4,5.8
2016,1.5,5.0,3.9,2.0,6.4,2.9,6.1,3.1,3.0,4.3,4.1,2.7,1.7,3.2,,4.5,4.9,5.0,2.1,6.6,5.0,8.3,5.3,3.6,3.4,3.2,4.7,3.1,5.9
2017,2.1,5.0,4.1,3.2,5.8,3.1,7.1,3.9,3.3,4.8,4.5,3.0,2.0,2.8,,4.9,5.1,5.5,2.9,7.4,5.1,8.9,2.9,3.7,3.2,3.4,2.1,3.3,6.0
2018,2.1,5.0,4.5,4.0,4.9,2.5,5.6,3.9,3.9,4.9,4.3,3.1,2.1,2.2,,4.0,5.1,5.1,3.6,8.6,5.2,10.6,4.8,3.0,3.1,2.5,3.5,3.9,7.2
2019,2.2,4.9,4.3,3.2,4.4,2.6,6.4,5.3,2.7,5.2,4.4,3.1,2.9,2.9,,4.2,4.7,6.6,3.3,9.1,5.8,9.3,4.2,2.8,3.1,3.4,4.6,3.7,7.4
2020,2.9,4.6,3.4,3.2,4.2,2.2,5.0,5.5,6.4,3.9,5.4,2.8,3.0,3.2,,6.3,4.0,6.7,3.2,8.9,5.5,9.8,3.3,3.5,2.7,4.2,3.6,3.5,8.2
