,49301,49306,49315,49316,49321,49341,49345,49348,49401,49404,49418,49426,49428,49464,49468,49503,49504,49505,49506,49507,49508,49509,49512,49519,49525,49534,49544,49546,49548
2013,81.2,70.5,69.9,70.4,49.9,69.3,53.6,60.7,45.4,62.2,58.8,77.4,66.1,71.6,,24.7,38.6,40.8,50.6,35.7,47.5,46.3,40.3,44.9,52.9,55.0,38.3,55.0,43.5
2014,80.6,67.5,69.4,73.6,50.4,69.9,53.8,61.0,43.3,59.5,57.5,77.5,66.8,72.2,,24.9,39.2,39.7,49.3,35.9,46.6,42.9,39.0,45.8,52.9,52.4,38.9,56.5,42.2
2015,80.2,69.6,67.8,70.9,47.9,68.7,51.9,62.7,43.7,58.4,56.8,75.9,66.5,69.7,,23.7,38.8,38.1,52.2,33.8,46.5,42.2,39.2,45.6,54.1,52.4,41.0,56.5,42.1
2016,79.5,69.3,68.1,71.3,47.1,70.7,51.1,62.0,43.4,58.0,56.3,73.8,67.4,70.0,,24.4,37.9,39.0,50.6,33.6,44.8,40.9,37.0,44.8,55.1,52.2,41.6,55.9,41.7
2017,78.8,69.9,67.5,73.4,49.6,72.9,54.3,60.4,42.3,57.7,56.7,73.9,68.7,69.7,,25.6,37.1,38.3,53.1,33.1,46.2,39.4,39.4,45.8,54.5,51.6,45.9,55.2,40.7
2018,80.3,66.8,67.3,71.4,50.5,72.0,58.9,57.6,41.7,61.2,56.7,74.0,67.1,69.6,,27.1,37.5,38.1,52.7,34.3,46.9,39.2,35.5,44.8,55.6,53.2,48.2,52.9,38.3
2019,79.8,65.5,66.7,72.3,49.4,71.5,60.7,54.3,41.3,60.9,58.3,73.3,65.9,65.8,,26.8,37.7,38.0,55.1,34.9,46.6,41.4,37.8,46.0,55.2,53.8,46.8,51.0,39.7
2020,81.4,63.6,68.1,69.9,49.5,72.8,59.4,54.6,40.0,62.4,57.0,74.9,66.1,69.0,,27.8,36.9,38.9,55.9,36.0,45.4,42.7,37.3,47.6,59.4,55.9,45.6,53.9,41.0
