,81601,81602,81611,81612,81615,81621,81623,81642,81652,81654
2013,53.3,,43.8,-666666666.0,39.0,59.7,53.8,67.4,54.1,24.7
2014,52.7,,37.5,-666666666.0,35.7,55.3,57.5,60.8,60.7,27.7
2015,51.4,,35.1,-666666666.0,34.2,49.3,57.2,33.3,59.5,24.3
2016,51.7,,36.9,-666666666.0,34.7,44.2,59.3,0.0,61.1,33.6
2017,52.1,,35.2,-666666666.0,40.1,46.4,60.7,0.0,60.7,31.6
2018,50.7,,37.2,-666666666.0,27.8,49.2,59.9,-666666666.0,60.5,39.9
2019,49.6,,40.6,-666666666.0,20.6,51.1,57.3,0.0,60.1,48.4
2020,54.1,,40.8,-666666666.0,28.8,56.0,56.4,0.0,67.0,52.3
