,32801,32802,32803,32804,32805,32806,32808,32809,32810,32811,32812,32814,32816,32817,32818,32819,32822,32824,32827,32829,32832,32835,32839,32853,32854,32855,32856,32857,32858,32859,32860,32861,32862,32867,32868,32869,32872,32877,32878,32885,32886,32887,32890,32891,32893,32896,32897,32898,32899
2013,78.8,,62.4,56.1,47.4,44.9,33.5,34.3,38.4,43.4,36.6,52.0,,43.7,27.1,27.1,39.9,16.1,28.0,24.8,17.5,35.4,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,80.5,,63.4,54.1,46.5,46.2,33.3,33.0,37.3,44.4,36.5,45.9,,42.6,28.1,28.5,39.8,15.2,26.1,24.8,20.2,34.3,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,80.2,,65.8,50.8,47.6,45.0,32.1,33.1,37.4,42.3,37.9,46.1,,43.2,26.4,28.7,40.1,19.7,23.8,25.0,23.4,33.4,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,80.0,,64.1,51.8,45.9,44.4,34.7,34.4,38.1,43.6,40.1,44.0,,42.5,24.1,29.3,41.6,21.7,24.9,25.4,23.2,33.0,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,78.1,,60.6,49.5,45.9,43.8,33.7,33.5,36.1,43.4,40.4,47.0,,38.7,24.5,30.7,40.2,20.9,24.1,23.2,26.3,35.0,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,78.6,,59.3,47.9,48.7,43.1,33.4,34.5,37.0,42.6,39.0,51.7,,37.0,24.8,30.9,39.8,18.7,23.8,21.0,28.6,33.6,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,77.2,,58.3,47.3,49.6,42.3,33.3,35.2,36.3,41.0,38.7,50.7,,36.8,22.7,29.8,38.7,21.5,22.3,18.8,27.5,35.5,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,77.3,,56.6,49.7,47.4,42.2,33.3,33.2,35.7,41.9,37.9,44.2,,35.5,21.8,31.8,35.1,16.9,24.3,19.9,25.1,37.0,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,
