,32801,32802,32803,32804,32805,32806,32808,32809,32810,32811,32812,32814,32816,32817,32818,32819,32822,32824,32827,32829,32832,32835,32839,32853,32854,32855,32856,32857,32858,32859,32860,32861,32862,32867,32868,32869,32872,32877,32878,32885,32886,32887,32890,32891,32893,32896,32897,32898,32899
2013,3.6,,4.6,7.5,27.0,12.1,28.8,18.3,21.1,25.8,17.1,7.0,,10.1,24.3,12.4,19.5,17.3,8.5,13.3,5.1,16.6,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2.9,,5.3,6.9,28.0,11.1,29.7,17.8,22.3,26.7,15.7,6.8,,11.1,24.2,12.2,19.6,17.4,6.6,14.3,4.8,18.1,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2.8,,6.0,7.7,28.3,11.6,31.1,14.7,22.4,28.8,14.1,5.8,,11.0,25.4,13.7,20.4,15.9,6.3,14.1,9.6,18.3,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,3.6,,6.4,8.0,30.7,10.4,30.8,15.6,23.7,26.5,12.2,5.4,,11.0,27.1,14.5,18.7,16.4,6.0,13.2,6.4,18.6,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4.2,,7.3,8.9,30.1,10.2,31.2,14.9,24.6,25.8,12.3,3.0,,13.3,26.9,14.8,19.1,15.6,8.9,9.4,6.0,18.3,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,4.1,,6.8,9.8,27.9,9.3,30.0,16.0,22.2,26.7,12.3,2.0,,10.7,27.1,12.0,20.5,15.2,11.2,10.2,6.4,17.1,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4.4,,6.9,9.5,26.4,10.1,29.7,17.1,21.4,26.2,12.8,3.2,,8.6,25.3,13.3,21.7,12.5,12.8,9.3,8.2,15.3,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3.4,,7.3,9.6,22.4,8.8,30.3,19.1,20.8,21.2,14.2,6.4,,10.8,24.2,10.9,21.6,14.1,12.1,12.5,5.1,13.4,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,
