,32801,32802,32803,32804,32805,32806,32808,32809,32810,32811,32812,32814,32816,32817,32818,32819,32822,32824,32827,32829,32832,32835,32839,32853,32854,32855,32856,32857,32858,32859,32860,32861,32862,32867,32868,32869,32872,32877,32878,32885,32886,32887,32890,32891,32893,32896,32897,32898,32899
2013,1686,,1773,1285,661,1101,796,1590,898,767,510,244,37,702,499,2634,902,763,253,179,235,857,735,,,,,,,,,,,,,,,,,,,,,,,,,,65
2014,1753,,1769,1297,664,1150,814,1611,876,787,519,265,39,717,498,2700,936,793,281,185,269,885,755,,,,,,,,,,,,,,,,,,,,,,,,,,54
2015,1821,,1788,1305,697,1185,809,1646,886,812,543,268,34,710,507,2821,980,845,324,206,307,944,776,,,,,,,,,,,,,,,,,,,,,,,,,,52
2016,1845,,1794,1306,723,1214,864,1672,915,813,563,294,32,757,528,2882,1035,918,388,222,366,1014,812,,,,,,,,,,,,,,,,,,,,,,,,,,53
2017,1896,,1816,1282,718,1194,890,1709,910,829,574,306,35,774,536,2874,1084,1020,446,246,404,992,851,,,,,,,,,,,,,,,,,,,,,,,,,,58
2018,1896,,1833,1298,716,1190,891,1761,922,865,597,327,33,782,538,2881,1172,1071,486,247,474,1044,898,,,,,,,,,,,,,,,,,,,,,,,,,,56
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
