,23220,23221,23223,23224,23226
2013,25.3,33.8,33.1,30.8,37.6
2014,25.7,33.5,33.3,31.5,37.0
2015,26.2,34.4,32.8,32.1,37.3
2016,26.3,34.4,33.2,32.8,37.5
2017,26.5,33.9,34.2,33.0,38.7
2018,26.5,34.6,34.5,33.2,38.9
2019,26.4,35.2,34.3,34.0,38.4
2020,26.2,34.6,35.1,34.8,40.0
