,23220,23221,23223,23224,23226
2013,15.4,27.1,21.1,20.9,47.1
2014,15.0,27.5,21.2,20.6,45.3
2015,15.1,28.9,20.8,21.0,46.8
2016,15.1,31.0,19.6,20.7,48.8
2017,15.8,31.3,20.2,22.2,48.0
2018,16.6,30.2,22.0,20.5,48.3
2019,18.7,30.8,22.7,19.6,50.8
2020,20.2,32.3,22.9,17.5,49.8
