,87102,87106,87108,87109,87110,87111,87112,87113,87114,87120
2013,56.1,58.3,53.8,45.5,49.1,40.9,41.5,31.6,30.3,31.2
2014,58.1,59.9,55.2,45.6,48.2,40.3,42.4,30.5,29.7,32.1
2015,57.2,61.8,55.9,45.9,46.7,39.4,42.0,31.5,31.5,32.9
2016,58.4,61.8,58.2,47.0,45.7,37.9,42.5,29.4,32.6,33.4
2017,60.8,60.3,57.2,47.1,46.2,36.6,42.2,31.7,33.8,32.8
2018,62.3,59.5,57.4,47.9,46.0,36.7,43.5,30.4,34.7,33.5
2019,63.1,58.0,56.9,49.4,47.9,38.8,43.5,31.7,36.3,33.2
2020,67.0,58.0,58.7,47.9,50.1,43.2,44.1,32.1,34.6,35.5
