,87102,87106,87108,87109,87110,87111,87112,87113,87114,87120
2013,25.3,28.1,23.2,36.8,35.5,46.2,39.6,46.8,50.4,48.6
2014,25.2,27.9,23.0,35.5,35.9,45.6,39.8,48.1,50.4,47.7
2015,25.7,26.1,23.1,35.3,37.9,45.2,38.9,48.0,47.4,47.2
2016,25.9,25.1,21.8,34.9,38.0,46.6,38.6,49.4,47.8,46.4
2017,24.4,25.5,20.9,36.0,36.5,46.6,38.1,52.1,47.2,47.7
2018,20.7,26.3,21.9,34.1,36.3,46.5,37.7,54.4,47.4,47.8
2019,18.5,25.5,20.4,33.4,34.9,44.4,37.8,54.4,45.7,47.3
2020,15.3,26.4,21.6,34.3,32.4,40.7,37.0,53.4,45.3,43.5
