,90004,90005,90006,90007,90012,90013,90014,90015,90017,90018,90019,90020,90021,90026,90027,90028,90029,90031,90032,90033,90034,90035,90036,90037,90038,90039,90041,90042,90043,90044,90045,90046,90047,90048,90057,90062,90063,90064,90065,90066,90068,90069,90071,90089,90230,90291,90292,90293,90401,90402,90403,90404,90405,90640,90650,90723,91030,91040,91042,91101,91103,91104,91105,91106,91107,91108,91201,91202,91203,91204,91205,91206,91207,91208,91214,91331,91335,91340,91342,91343,91344,91345,91352,91356,91364,91367,91401,91402,91403,91405,91406,91411,91423,91436,91501,91502,91504,91505,91506,91601,91602,91604,91605,91606,91607
2013,37976,31893,30961,22420,28879,20271,16551,27393,21030,32447,42043,38510,13415,44327,47993,30953,36979,34655,46508,28005,56946,75863,71589,26796,35144,64080,63770,50996,40658,29870,77893,52641,41842,72701,28035,33192,38441,84579,53635,66744,67500,75451,-666666666,11750,71235,79736,100441,87308,62794,140139,71424,59695,75717,47438,60770,44934,85058,69312,57500,56980,59682,67068,109922,66250,80936,140703,50107,66067,43078,37634,36906,52570,91005,92532,90414,51477,51266,54440,59329,54166,77604,60352,48844,70759,91100,76548,46420,40186,69956,38847,49231,44570,74011,132520,56740,40714,73151,77378,71914,48638,66652,88579,43301,42521,56635
2014,38493,31214,31403,22646,29492,21120,17134,28953,21009,32104,43244,37121,12748,46435,50316,31742,35253,34656,45208,27190,56743,75327,,26638,33850,67170,64545,51427,38738,28344,78082,56337,40528,72913,26940,32067,39206,86573,52794,68346,73373,78607,-666666666,10625,73786,81025,103319,84588,60802,131607,72366,65035,78756,47436,60523,43784,80479,70830,57640,58365,59099,70811,108882,72192,84761,120152,50526,63111,44724,39753,37414,52077,88929,88955,89849,51345,51398,55217,60899,55238,77247,60148,49088,69148,93919,77152,48994,39009,75334,38162,50381,43758,75671,,62500,40208,71296,77679,70408,47202,63544,90528,43707,42195,52274
2015,40612,31142,31521,22304,31576,19887,23642,29684,22754,33864,46571,38849,12813,47993,51595,33582,33912,34994,45457,27622,58004,73794,69894,27179,33800,70560,63358,49630,38180,29206,75684,57941,39269,78940,27890,34588,40006,87283,54078,68132,73693,78979,-666666666,-666666666,74823,80111,100507,82055,62703,134638,78151,66623,77948,45898,59756,45792,79089,71411,58020,61180,62037,71429,107209,74756,83904,134286,49215,63037,41400,42277,36971,52277,89333,103860,87612,51986,51206,54182,60361,55956,79680,61728,51154,68078,92830,80083,50418,37190,80890,39013,49835,45667,79028,135585,60158,40057,70608,76357,71495,48499,65920,90801,42254,41498,53531
2016,43180,31485,31993,22485,32712,22058,23580,30463,25143,35696,47518,40353,12370,51568,52922,35729,35132,36801,45218,29499,60965,74667,71917,27129,35739,77361,68457,51444,41449,30288,81058,61157,40913,83672,29332,37293,41267,92626,54796,72004,76485,82237,-666666666,-666666666,73469,82467,100842,85561,67022,140612,85870,73042,83034,47598,61050,46364,84683,70841,51461,61473,62697,70208,107284,75160,84663,141739,54603,62104,48849,41586,38138,53911,86190,111563,91255,53714,51263,55463,63895,58285,81335,65818,51047,68817,96635,80751,49153,39095,83241,39472,49764,47126,81753,137683,61048,40083,74006,80389,73661,50275,72417,94583,44913,42273,56096
2017,46581,32461,33790,23070,38786,22808,37619,32979,28638,37341,50671,42407,12864,54342,58344,40068,37379,41126,47370,31683,65572,76677,74279,31045,36996,81394,73250,55596,41812,32278,90399,65990,42551,85396,31337,40018,44121,92194,58405,75209,82718,86403,-666666666,-666666666,79242,88078,103948,100042,71154,140179,92096,73601,88445,50326,63669,49064,92847,77910,53412,64223,69334,72189,112765,77380,92266,152553,56580,66657,51360,44304,38730,57379,81110,105000,94322,57353,55580,54703,68600,61692,86460,74193,52171,71654,100323,84937,51784,41669,89552,41283,51564,50332,82554,159965,64006,41784,73501,82630,72681,50832,78526,99745,43004,44773,60772
2018,48754,35149,35411,25226,42275,21676,35857,39016,31423,41768,52625,46504,15149,60820,64091,43998,39562,44343,50989,35548,71295,79534,80998,33856,39984,86031,80547,59746,47500,34311,96812,67667,47477,95197,33861,44835,46613,95865,63147,79088,83756,92952,-666666666,-666666666,80677,91779,109268,103874,72872,147111,107335,75221,94446,53615,66453,53031,96692,81940,55507,65592,69059,74011,122917,80291,95630,158884,58004,70841,55783,45245,43769,62915,88365,102950,100625,60360,60413,53564,70106,62791,92286,75969,55177,74561,103278,87699,54058,42857,95944,43548,55542,54555,83732,149423,70326,38147,75825,84651,79148,52607,81917,103470,47000,46397,62139
2019,49675,38491,37072,27406,47027,22316,40641,43890,35605,45984,56389,49068,21635,65269,66947,45499,41998,48479,57225,38266,75714,89337,80539,35424,47116,90538,85971,64267,54729,35981,104578,72266,52605,100586,37700,49443,48559,102117,67479,83899,88535,93380,61875,-666666666,85524,99652,114726,105865,82681,154583,107420,78542,95674,56009,70667,55670,104432,86594,64532,70075,71231,77919,131158,82211,102850,165765,60101,75703,61071,49122,44835,70141,85956,108374,104981,63807,63748,57398,74050,66661,96162,77273,57145,76929,106225,96085,53882,45796,104802,47037,59472,58605,90931,174085,67817,47148,83994,87138,81597,53911,84008,111341,50623,50155,71691
2020,52775,42398,37375,30530,49905,21175,36429,48743,36870,49644,58313,50207,21625,67435,71651,50253,45004,51076,59723,43646,80773,99367,84315,37945,48786,88104,90461,73152,56285,39434,110535,72457,58830,93583,41748,52661,50913,103045,76080,87589,87327,90546,61895,-666666666,87469,99496,121021,104814,95217,145742,111611,75610,96352,62521,77425,57313,109927,92280,66453,72144,71600,78285,137637,84782,100866,163654,59073,81665,61384,55847,47160,74893,85107,104866,108583,64375,65740,64479,79572,67043,103329,80759,58696,80872,110525,95212,57493,48933,101021,49232,61880,61914,90783,153304,73622,53580,86295,89021,85086,57411,81795,119586,53335,54649,76092
