,97401,97402,97403,97404,97477
2013,7.5,13.7,4.8,13.5,15.1
2014,9.0,11.5,5.1,13.1,14.8
2015,8.5,12.1,4.4,12.2,14.2
2016,8.3,12.6,4.5,11.8,14.0
2017,7.1,10.7,5.2,11.4,13.3
2018,7.6,11.0,4.3,12.3,13.0
2019,7.5,11.9,3.7,12.8,14.0
2020,6.8,13.9,5.0,12.1,12.8
