,97401,97402,97403,97404,97477
2013,62.7,45.2,61.0,30.8,40.9
2014,62.5,45.9,61.1,31.6,43.5
2015,63.6,45.5,60.5,32.1,46.0
2016,62.3,45.9,60.5,32.7,44.9
2017,63.5,44.2,60.0,31.7,46.0
2018,63.8,43.9,60.8,31.5,45.6
2019,63.4,44.4,62.1,30.5,43.9
2020,62.8,45.7,61.8,30.1,41.6
