,97401,97402,97403,97404,97477
2013,40482,51025,12374,33229,36962
2014,40428,50831,12397,32973,36833
2015,40414,51363,12566,32860,36403
2016,41610,52041,12590,32792,37074
2017,42631,52211,12427,33496,37484
2018,44750,51489,13021,34390,37031
2019,45830,52310,13398,34616,37535
2020,47985,52481,14024,34126,38073
