,income,pop,age,house_married,house_nonfam,house_m_single,house_f_single,car,biz,unlinked_passenger_trips,uza_population,voms,vehicle_revenue_miles
2013,64923.14,6998.62,39.61,46.91,42.67,4.45,6.64,10.9,412.0,,,,
2014,66094.57,6966.75,40.19,46.73,40.69,4.95,8.36,13.8,416.11,,,,
2015,63538.71,6995.5,40.31,44.43,41.21,5.22,9.86,20.7,421.56,837874.0,0.0,26.0,1807472.0
2016,65406.29,7045.38,39.2,45.93,39.07,4.83,10.86,19.4,424.67,831989.0,0.0,28.0,1794807.0
2017,67266.43,7121.88,39.39,46.69,39.57,2.93,11.23,17.95,431.89,897557.0,0.0,28.0,1858976.0
2018,71982.0,7265.25,40.36,46.46,38.96,2.92,11.93,10.9,437.44,920343.0,0.0,26.0,1814217.0
2019,74229.0,7317.75,41.21,46.81,37.74,4.65,11.26,11.45,,1034512.0,0.0,26.0,1970173.0
2020,85713.57,7421.38,43.7,50.77,36.57,2.75,10.07,5.75,,473625.0,0.0,26.0,1528227.0
