,02108,02109,02110,02111,02113,02114,02115,02116,02118,02119,02120,02121,02122,02124,02125,02126,02127,02128,02129,02130,02131,02132,02134,02135,02136,02151,02163,02169,02170,02171,02184,02186,02199,02203,02210,02215,02445,02446
2013,74.1,64.0,71.2,56.9,82.6,78.2,79.8,63.1,63.5,46.3,54.0,35.7,35.8,33.4,42.2,30.2,60.8,41.4,51.5,53.0,38.2,37.5,74.0,67.0,35.5,38.2,76.7,46.8,44.9,45.7,31.5,24.1,60.3,-666666666.0,72.9,84.1,43.9,56.7
2014,72.8,66.0,75.0,59.7,79.8,77.0,78.2,61.4,62.4,44.8,52.6,35.7,35.0,34.8,43.5,29.7,60.7,41.6,52.7,52.9,38.4,35.3,75.5,67.1,32.0,40.5,73.4,46.1,44.6,46.2,30.7,23.5,55.3,-666666666.0,69.4,86.2,44.5,55.6
2015,65.3,71.4,71.4,57.8,79.4,74.6,77.8,61.8,60.1,46.1,51.4,36.0,35.9,36.1,43.9,29.8,59.2,41.7,53.5,53.0,38.7,35.3,74.3,67.3,31.2,41.0,79.4,46.1,42.7,46.4,33.0,24.2,58.2,-666666666.0,68.7,85.9,43.4,55.6
2016,64.7,73.2,73.1,56.6,78.7,74.0,76.3,63.2,59.7,45.8,53.2,35.1,36.5,36.9,44.8,28.8,59.6,40.9,55.3,53.8,39.7,36.8,75.3,67.1,29.1,39.6,82.4,46.9,45.1,47.3,33.3,23.1,54.2,-666666666.0,74.4,82.5,41.9,56.7
2017,58.3,68.5,66.6,57.3,79.5,73.7,74.2,62.7,59.5,45.5,55.0,36.8,38.8,35.9,46.5,30.3,60.0,40.8,53.5,52.5,39.5,36.6,74.0,67.2,27.8,38.7,84.1,46.1,46.4,48.7,35.3,22.7,56.7,100.0,70.2,81.3,40.7,55.2
2018,54.9,70.6,56.2,57.2,77.3,72.5,74.3,63.8,60.2,47.7,57.0,37.5,38.7,34.7,47.8,30.0,60.1,41.4,51.8,53.4,38.3,37.5,72.9,66.1,27.8,38.0,84.5,45.7,47.7,49.9,35.5,22.2,58.4,100.0,69.0,79.6,40.2,57.1
2019,58.3,66.1,53.4,55.1,79.1,72.2,74.9,63.1,59.2,48.7,59.4,39.4,39.4,34.0,49.4,29.1,61.5,41.6,50.0,53.5,37.0,39.1,70.0,66.5,28.0,36.6,83.4,47.9,47.2,49.3,33.2,22.4,60.9,100.0,71.4,78.0,41.8,55.4
2020,65.4,65.1,52.0,55.7,82.6,71.5,77.1,63.0,60.5,51.8,61.0,38.1,42.2,32.3,48.1,28.7,61.6,46.1,51.2,53.3,35.3,37.0,70.3,67.1,29.4,37.7,82.0,47.4,48.8,49.0,31.8,21.6,58.3,100.0,69.0,78.3,48.5,54.3
