,02108,02109,02110,02111,02113,02114,02115,02116,02118,02119,02120,02121,02122,02124,02125,02126,02127,02128,02129,02130,02131,02132,02134,02135,02136,02151,02163,02169,02170,02171,02184,02186,02199,02203,02210,02215,02445,02446
2013,67.3,69.4,31.9,71.5,68.8,70.4,69.5,56.9,49.1,42.8,59.7,48.7,40.1,30.3,37.3,29.3,31.9,45.2,28.5,29.1,17.9,7.3,48.0,35.6,16.9,31.5,100.0,20.7,19.3,18.0,5.1,3.3,80.4,-666666666.0,19.3,54.0,29.6,31.7
2014,73.1,68.5,58.4,74.0,66.1,69.5,61.9,54.4,44.3,42.6,60.0,49.4,38.7,33.0,38.4,29.5,30.6,45.2,33.4,25.4,20.7,8.9,47.6,38.6,18.4,38.0,100.0,18.6,21.1,17.8,8.5,5.8,83.9,-666666666.0,20.5,60.6,35.9,37.1
2015,58.8,78.5,52.8,75.0,66.6,69.4,64.9,56.4,43.7,43.5,63.0,52.8,36.1,30.4,37.1,28.2,29.1,44.1,30.0,25.5,17.0,7.7,50.4,37.0,19.6,34.4,100.0,18.4,16.2,16.2,7.9,4.2,80.9,-666666666.0,26.9,62.8,36.2,34.3
2016,56.7,76.6,50.0,69.6,64.6,71.3,65.5,56.7,45.6,41.8,61.4,52.7,38.3,34.9,33.7,29.2,26.9,44.4,32.7,24.4,17.0,8.6,52.6,37.0,21.5,33.6,100.0,21.1,19.0,17.5,8.7,4.8,79.5,-666666666.0,21.6,61.9,36.2,38.2
2017,54.8,75.2,39.1,67.7,64.5,63.7,59.8,58.9,44.7,40.4,57.4,47.0,37.2,33.4,32.0,35.2,26.4,46.3,29.7,25.8,17.8,6.9,57.7,38.0,21.3,30.2,100.0,19.6,18.9,15.0,5.9,5.2,76.7,-666666666.0,20.4,66.2,38.3,39.2
2018,41.6,79.0,49.7,62.4,67.0,64.0,61.3,53.8,43.1,39.9,57.0,48.3,34.6,34.1,31.2,35.5,26.7,44.5,29.5,27.4,19.5,6.9,59.2,33.7,18.3,29.0,86.8,20.8,19.2,13.5,6.2,5.3,82.8,-666666666.0,40.4,68.6,38.7,44.5
2019,42.5,84.8,44.9,56.0,64.9,68.4,66.2,55.4,41.5,38.0,52.1,45.9,36.0,31.9,29.7,36.3,28.9,48.5,26.5,30.5,17.4,11.4,58.0,35.5,20.1,22.7,90.8,21.0,19.4,14.8,4.4,3.9,66.9,-666666666.0,47.4,65.8,43.0,42.2
2020,36.9,78.2,37.9,39.1,68.1,72.7,64.7,47.9,44.2,34.8,52.7,39.7,37.3,32.3,31.7,39.6,34.0,49.7,25.6,32.4,18.7,14.3,62.5,35.8,19.9,22.6,78.0,21.7,21.8,12.7,9.8,29.4,75.0,-666666666.0,61.0,65.1,42.1,44.0
