,02108,02109,02110,02111,02113,02114,02115,02116,02118,02119,02120,02121,02122,02124,02125,02126,02127,02128,02129,02130,02131,02132,02134,02135,02136,02151,02163,02169,02170,02171,02184,02186,02199,02203,02210,02215,02445,02446
2013,2.0,6.1,4.5,5.4,1.4,3.9,6.0,4.6,11.7,30.7,24.0,40.4,28.5,30.7,24.3,37.6,14.2,16.9,10.6,12.6,19.8,9.9,7.4,8.6,22.9,18.3,1.0,10.9,11.2,10.3,11.8,12.7,2.6,-666666666.0,1.0,2.6,9.7,5.9
2014,3.3,4.5,1.9,3.4,2.2,4.3,6.1,5.2,11.0,29.9,25.3,42.3,25.3,30.0,24.2,37.1,14.2,17.5,11.6,12.7,20.4,10.7,6.0,9.3,27.2,17.1,4.1,10.7,11.8,9.2,11.7,13.9,2.5,-666666666.0,2.8,1.7,8.9,6.1
2015,3.3,3.3,2.6,4.4,3.3,3.3,6.0,5.5,13.6,28.6,26.2,41.1,28.2,29.6,23.6,35.4,14.4,17.8,10.9,11.9,21.3,11.9,5.6,7.9,27.5,15.9,0.0,11.0,10.2,9.1,11.6,13.2,2.6,-666666666.0,1.6,1.9,9.9,6.0
2016,0.8,1.4,1.5,5.2,4.2,3.3,7.1,5.5,12.6,28.8,26.4,41.0,26.4,29.6,22.8,35.6,14.3,18.4,10.6,12.7,18.4,11.5,4.1,6.8,28.8,15.2,0.0,10.8,9.6,8.1,12.3,13.7,2.5,-666666666.0,1.4,2.6,9.1,5.4
2017,1.7,0.5,1.6,6.4,4.8,3.0,7.3,4.4,11.0,27.6,24.2,39.9,24.4,30.6,22.2,34.3,13.9,17.9,10.9,12.6,18.7,10.2,5.5,6.0,29.3,15.0,0.0,10.1,8.5,7.0,11.0,12.9,1.6,0.0,1.3,2.7,9.0,5.2
2018,1.7,0.4,7.8,6.6,4.8,1.8,8.2,5.1,10.3,27.0,23.4,37.5,22.9,30.3,22.2,32.6,12.5,17.0,10.9,10.8,19.2,9.1,5.9,5.7,29.5,14.1,0.0,10.3,7.1,6.5,10.6,12.5,8.0,0.0,1.1,3.0,7.8,4.6
2019,0.7,0.9,2.9,6.2,4.0,1.5,7.7,5.4,11.1,27.2,23.3,34.6,22.9,31.3,20.3,32.5,11.4,17.1,9.4,11.0,18.1,8.1,5.9,5.7,28.4,14.5,0.0,9.2,7.2,6.5,10.6,11.7,9.3,0.0,0.3,3.0,9.1,5.7
2020,0.7,0.9,3.4,7.6,1.9,2.5,8.3,4.6,10.2,24.5,22.7,33.2,18.9,32.1,21.0,33.9,10.2,16.7,9.1,10.9,16.8,9.2,6.5,4.9,27.6,13.6,0.0,9.6,7.4,6.2,11.5,11.0,9.4,0.0,1.0,1.9,8.5,6.5
