,02108,02109,02110,02111,02113,02114,02115,02116,02118,02119,02120,02121,02122,02124,02125,02126,02127,02128,02129,02130,02131,02132,02134,02135,02136,02151,02163,02169,02170,02171,02184,02186,02199,02203,02210,02215,02445,02446
2013,23.9,28.8,24.2,34.4,13.7,17.1,13.8,31.5,22.3,17.7,16.9,15.7,28.5,27.6,28.3,24.9,21.4,31.2,34.0,32.2,36.9,47.1,16.0,23.1,36.9,38.1,22.3,38.0,41.2,39.5,53.2,60.0,37.1,-666666666.0,26.1,12.6,44.1,35.9
2014,24.0,27.4,23.1,33.5,16.0,17.6,15.0,32.3,24.4,18.9,18.1,14.2,31.3,28.0,27.4,25.7,20.8,29.3,32.8,32.2,36.3,48.9,16.7,22.1,36.1,37.1,22.4,38.2,40.3,39.8,53.8,59.7,42.2,-666666666.0,27.8,11.1,44.0,37.1
2015,31.4,22.9,26.1,35.5,14.8,20.6,14.8,31.6,23.6,18.4,17.9,14.2,28.7,27.0,28.1,27.1,21.7,31.2,32.1,32.4,35.2,48.8,18.4,23.6,36.8,37.3,20.6,38.3,43.9,39.5,51.5,60.2,39.1,-666666666.0,29.7,11.5,44.2,37.5
2016,34.5,22.8,25.4,35.8,15.5,21.2,15.2,30.2,24.8,18.4,16.8,15.5,30.3,26.9,28.6,27.6,22.1,30.1,30.5,30.9,36.9,47.8,18.2,24.6,36.7,38.6,17.6,37.7,40.9,39.7,50.9,60.9,43.3,-666666666.0,24.3,13.4,46.0,36.4
2017,40.0,28.3,31.8,33.5,14.4,21.8,17.1,31.6,26.0,20.1,17.5,14.9,28.9,26.9,27.5,27.3,23.4,29.9,32.5,32.4,36.7,49.7,17.7,25.4,37.1,39.3,15.9,38.7,40.6,40.0,50.6,62.2,41.7,0.0,27.2,14.1,47.6,38.1
2018,42.9,25.7,34.9,33.3,16.7,24.2,16.0,29.7,26.2,18.4,16.2,16.7,30.9,28.7,25.4,29.3,24.2,29.8,33.6,33.1,37.8,51.1,18.4,26.5,37.1,40.0,15.5,39.7,41.1,39.1,51.0,62.4,33.6,0.0,28.4,15.5,49.7,36.8
2019,40.1,30.7,42.6,35.8,16.0,24.9,15.8,30.6,26.1,18.7,13.4,16.4,29.4,28.9,25.9,29.5,24.4,30.4,36.4,33.4,39.0,49.8,20.6,25.9,38.7,42.0,16.6,39.8,41.3,39.7,53.0,62.6,29.8,0.0,26.6,16.6,46.7,37.0
2020,33.0,32.4,43.3,33.2,14.9,25.5,14.0,30.8,25.9,18.8,13.9,21.3,29.5,30.4,26.7,28.6,26.1,27.6,35.9,33.9,40.8,51.0,19.8,25.9,38.0,41.2,18.0,39.1,39.6,39.9,53.2,64.3,32.3,0.0,28.4,17.0,41.1,36.4
