,02108,02109,02110,02111,02113,02114,02115,02116,02118,02119,02120,02121,02122,02124,02125,02126,02127,02128,02129,02130,02131,02132,02134,02135,02136,02151,02163,02169,02170,02171,02184,02186,02199,02203,02210,02215,02445,02446
2013,96921,119196,111250,43551,66636,80500,27134,87653,54152,27180,35077,28238,50192,48841,45130,45238,68724,48704,86346,75730,66735,83360,37820,48687,58890,51863,43989,58669,66917,64812,81844,111071,109716,-666666666,110333,35659,102087,78814
2014,99187,104393,115208,50783,69398,86601,27456,93605,62208,27159,32828,26530,53576,47297,45581,44792,72472,50336,87387,78204,63876,86233,38507,46858,61101,50881,48646,60775,63201,72638,87500,113087,110284,-666666666,113622,36719,95895,79289
2015,103973,111313,128210,51480,76503,86240,31737,93059,62300,28885,30487,26150,52122,48350,48123,45958,77633,51097,87381,77480,64178,87983,44000,50752,61391,50865,43229,61619,70248,71743,84776,116444,89861,-666666666,132969,40269,92622,86910
2016,115042,117344,120800,39670,86094,86863,35274,100674,59589,30278,29592,26313,53103,50044,49683,47902,85336,52152,90674,79419,68655,91273,47485,57330,62114,51468,51500,62157,71065,73280,85863,122516,99250,-666666666,155313,40115,102539,93750
2017,126224,129716,108438,39329,91212,89452,38759,103422,70575,30663,32243,27964,56024,50227,53382,50039,91597,52154,103834,84847,72127,93343,49938,61566,64877,53771,64000,67028,82159,78839,88993,126000,82238,-666666666,170152,43403,111642,102342
2018,136667,143191,116932,40870,100063,95161,37340,105559,65250,30551,33727,30712,60474,53174,56318,52474,99340,55483,118226,90813,73199,100915,58068,72009,64784,54987,49659,70248,76440,83479,94945,127448,91125,-666666666,163068,45337,121763,98614
2019,146958,163173,142869,53596,100483,96563,43144,110280,67805,31900,38300,32500,60313,58105,57649,55024,109149,60579,128403,94733,80578,103337,62614,78416,69262,62605,53214,72537,83734,84034,96522,133718,83464,-666666666,170588,45856,132688,98978
2020,152442,156119,111971,52663,97686,107162,45827,115825,62850,32424,46843,36479,72158,63118,60862,55126,122599,63378,131064,102088,87083,117083,66095,83383,76704,68199,57989,76636,85821,85586,101544,141050,106250,-666666666,170920,55468,126094,99383
