,81601,81602,81611,81612,81615,81621,81623,81642,81652,81654
2013,58954,,73426,-666666666,80823,71523,62955,45526,51937,54844
2014,61063,,70733,-666666666,82816,69929,66505,45809,51199,60417
2015,58134,,72191,-666666666,81035,69189,72307,39583,51869,40046
2016,61831,,71250,-666666666,66082,71850,76568,-666666666,57346,52917
2017,70724,,71199,-666666666,58233,78026,83090,-666666666,59176,50417
2018,76732,,76027,-666666666,61273,78281,86978,-666666666,63750,60833
2019,78816,,85588,-666666666,70634,82311,86565,-666666666,61154,54535
2020,82938,,83646,-666666666,76777,101470,93008,-666666666,80054,82102
