,44112,44104,44103,44106,44114
2013,22220,14603,18411,22602,22180
2014,22548,15204,17616,24065,23013
2015,21608,14009,17166,23222,21324
2016,21028,14414,18531,24578,20823
2017,22147,14646,17867,25892,22304
2018,22586,15813,19540,26310,25757
2019,22412,16999,19730,29225,36182
2020,26236,16650,21468,30669,43159
