,44112,44104,44103,44106,44114
2013,22593,23307,17990,26373,5130
2014,22193,22479,17291,26837,5714
2015,22465,22165,16456,25805,6474
2016,22283,21351,16813,25557,6447
2017,21788,20541,16486,25836,6714
2018,21909,19640,16519,25752,6567
2019,21666,19814,15938,25309,6896
2020,21251,19295,15711,25658,6671
