,80521,80524,80525,80526,80528
2013,37942,56938,63754,57121,86618
2014,39667,55506,63445,56573,89380
2015,38179,55177,66114,57610,89358
2016,40451,54009,67419,59948,93965
2017,43741,54876,69941,61971,99120
2018,45281,58580,70527,63078,101104
2019,48446,63273,73289,67289,103938
2020,50760,67080,77900,71749,107106
