,80521,80524,80525,80526,80528
2013,60.7,38.6,40.8,38.1,19.9
2014,59.5,39.6,40.8,37.9,21.2
2015,60.3,40.6,39.2,39.3,21.4
2016,60.6,40.5,39.7,39.1,22.4
2017,60.9,40.7,39.5,40.8,23.8
2018,61.1,40.3,39.7,41.4,25.0
2019,61.4,39.2,40.3,42.5,26.5
2020,60.5,36.9,41.1,42.5,26.7
