,80521,80524,80525,80526,80528
2013,35023,31738,48207,45413,18617
2014,35697,32068,49259,45522,18576
2015,36740,33029,51194,45590,19310
2016,37170,33575,52612,46175,20027
2017,36768,34670,53128,46018,20681
2018,37076,35753,54286,46346,21259
2019,36729,36497,56425,46271,22641
2020,37796,37656,56233,45220,21387
