,80521,80524,80525,80526,80528
2013,6.6,9.7,7.4,8.0,8.8
2014,7.6,9.3,8.0,8.4,9.5
2015,7.6,8.5,8.8,7.6,8.8
2016,6.9,8.3,7.9,8.4,8.1
2017,5.8,8.6,7.7,8.3,7.8
2018,5.8,8.0,7.8,8.6,7.2
2019,5.3,8.0,7.2,8.9,8.3
2020,5.0,7.8,6.0,8.0,8.1
