,80521,80524,80525,80526,80528
2013,16.2,26.2,4.0,27.3,0.0
2014,16.9,39.0,11.1,11.2,-666666666.0
2015,11.6,25.8,7.0,12.2,-666666666.0
2016,11.7,18.0,3.8,13.5,0.0
2017,3.4,12.4,4.1,7.3,0.0
2018,5.0,20.2,3.7,9.9,0.0
2019,3.1,7.0,2.5,12.7,0.0
2020,10.4,9.8,3.0,18.0,0.0
