,80521,80524,80525,80526,80528
2013,626,1829,2045,792,428
2014,649,1889,2090,833,472
2015,671,1925,2141,841,483
2016,672,1999,2201,858,496
2017,667,2070,2251,874,520
2018,678,2090,2274,888,556
2019,,,,,
2020,,,,,
