,77056,77027,77024,77055
2013,40.8,37.4,44.3,32.8
2014,40.8,36.7,44.5,32.9
2015,40.5,36.8,44.1,32.9
2016,40.2,35.1,44.1,33.4
2017,39.1,33.3,44.3,33.3
2018,40.1,32.8,43.7,34.2
2019,39.9,32.9,43.0,34.4
2020,39.5,33.1,42.9,34.5
