,77056,77027,77024,77055
2013,40.4,28.1,57.9,43.7
2014,39.5,25.0,58.0,42.5
2015,38.7,28.8,58.2,43.8
2016,38.3,30.5,58.3,45.7
2017,42.3,34.2,58.7,46.4
2018,41.0,35.5,58.1,46.1
2019,40.9,37.9,58.8,45.5
2020,41.7,35.3,54.0,43.1
