,77056,77027,77024,77055
2013,17263,15455,35367,44281
2014,17515,15510,36791,44249
2015,18685,15749,37042,43691
2016,19990,15498,37867,44890
2017,21732,16012,38110,45003
2018,21807,16962,38379,44680
2019,22056,18323,38190,44671
2020,22155,19171,38723,45201
