,77056,77027,77024,77055
2013,60.4,61.7,4.6,45.6
2014,51.1,44.4,19.4,46.0
2015,37.4,27.7,20.8,33.2
2016,50.4,14.1,19.2,30.7
2017,17.3,12.5,21.6,31.2
2018,33.1,8.4,17.4,25.4
2019,32.7,0.0,4.4,14.9
2020,20.3,0.0,0.0,16.0
