,77056,77027,77024,77055
2013,55.7,63.7,31.5,32.4
2014,56.0,66.9,31.3,33.3
2015,55.0,62.5,32.1,33.7
2016,55.4,62.4,32.6,32.8
2017,51.7,60.0,32.9,32.4
2018,52.5,60.1,32.9,32.8
2019,52.7,56.9,32.3,32.5
2020,52.7,58.8,36.7,33.9
