,77056,77027,77024,77055
2013,2.8,4.5,8.0,17.2
2014,4.0,5.0,8.0,17.4
2015,5.3,5.1,7.3,15.7
2016,4.9,4.5,6.8,15.1
2017,4.5,3.9,6.4,14.3
2018,5.1,2.7,6.9,13.6
2019,4.3,3.6,7.0,14.3
2020,3.6,3.7,6.3,15.0
