,77056,77027,77024,77055
2013,1.1,3.6,2.6,6.6
2014,0.5,3.1,2.7,6.8
2015,0.9,3.7,2.5,6.8
2016,1.4,2.7,2.2,6.4
2017,1.5,1.9,2.0,7.0
2018,1.5,1.7,2.1,7.4
2019,2.0,1.6,1.9,7.8
2020,2.1,2.2,3.0,8.0
