,77056,77027,77024,77055
2013,93069,81661,111139,46987
2014,92521,82038,114864,45264
2015,93143,89276,114223,45332
2016,98862,88471,114336,47808
2017,107003,91296,118561,52269
2018,109515,95835,116920,53263
2019,108359,98463,123274,55591
2020,106974,99773,122987,59102
