,77056,77027,77024,77055
2013,2700,1977,2358,1482
2014,2759,1999,2367,1525
2015,2735,1978,2410,1555
2016,2764,2047,2476,1581
2017,2778,2036,2468,1616
2018,2739,2022,2512,1596
2019,,,,
2020,,,,
