,64106,64108,64109,64110,64111,64112,64113,64131
2013,25649,35521,19149,40066,37695,54679,113536,40128
2014,26264,36392,21839,39866,39333,,126351,42838
2015,25655,40127,23098,38503,40458,65158,125995,41868
2016,28449,41912,24710,39077,42758,68981,122237,41742
2017,30595,44206,28750,40828,45026,71743,124462,45433
2018,31140,49500,32131,42550,48105,74864,136913,45688
2019,33770,51406,32218,44078,51413,75017,138220,45186
2020,37372,57000,33135,46436,53266,79904,146829,51241
