,06002,06032,06037,06051,06052,06053,06067,06074,06101,06103,06105,06106,06108,06109,06110,06112,06114,06118,06119,06120,06422
2013,5.1,2.1,3.8,8.0,4.3,5.9,1.2,3.9,,0.0,3.4,7.5,7.3,3.4,4.2,6.1,8.5,4.3,4.9,4.8,4.4
2014,5.0,2.4,3.7,7.5,6.8,6.2,1.2,3.3,,0.0,4.1,7.7,8.5,3.2,4.9,6.2,8.5,4.1,4.5,5.1,3.6
2015,5.0,2.1,3.0,7.0,6.8,6.4,1.8,3.1,,0.9,4.6,8.6,7.2,3.3,3.8,7.0,10.5,3.7,3.8,6.3,5.5
2016,4.4,2.6,3.2,8.0,5.8,6.3,1.6,3.6,,0.9,4.0,7.8,7.1,3.9,4.2,6.8,10.5,4.3,4.1,6.2,3.3
2017,5.4,2.7,3.1,6.8,2.8,5.4,2.9,3.4,,3.9,4.8,7.7,7.8,3.4,3.9,7.5,10.5,4.1,3.5,6.6,4.8
2018,5.0,2.1,3.0,7.8,3.8,6.8,3.6,4.4,,2.8,4.1,7.1,6.4,2.4,5.6,8.3,10.5,5.3,3.9,6.2,5.5
2019,4.7,1.9,2.5,7.5,2.7,6.5,4.6,4.5,,2.5,2.9,7.6,7.5,2.9,4.5,7.7,9.9,5.8,4.2,6.5,5.1
2020,4.5,2.8,5.9,7.0,2.9,6.5,6.7,3.4,,1.9,4.4,8.7,8.9,3.9,5.0,7.7,7.4,8.0,4.0,8.0,3.5
