,06002,06032,06037,06051,06052,06053,06067,06074,06101,06103,06105,06106,06108,06109,06110,06112,06114,06118,06119,06120,06422
2013,73104,93810,87736,31626,54602,45325,77560,90499,,92321,30657,26752,43098,77740,56337,30199,31253,57044,69408,19855,124179
2014,73519,95846,88107,30742,60063,46781,75442,94217,,97292,29400,26956,43592,78008,60210,32708,31399,55434,72205,20434,117328
2015,72762,91621,87457,30537,62235,46259,81576,97389,,82703,30483,28654,41846,77195,62246,35502,31791,51790,72898,22225,113152
2016,74107,97803,96550,30955,63317,48942,81988,100122,,83048,31920,28529,46902,78371,64300,36145,34410,52729,80884,24080,114491
2017,73593,96602,94545,32556,64955,49032,79421,105986,,80030,32126,32550,50361,81452,67118,37089,36227,54843,81117,25154,116232
2018,76952,97031,99158,34341,71317,50698,83100,107088,,80426,31512,33076,52857,83391,69888,38750,38153,57346,82146,26456,117631
2019,76717,93497,103702,36634,74340,51283,85125,107374,,84469,34623,36460,51722,86216,73938,38557,37756,61314,88963,27324,119905
2020,79134,97500,106882,36859,69709,53678,85123,119972,,87717,32915,37391,52092,90881,70326,36448,43071,69301,93722,23388,130635
