,06002,06032,06037,06051,06052,06053,06067,06074,06101,06103,06105,06106,06108,06109,06110,06112,06114,06118,06119,06120,06422
2013,715,1016,589,493,154,325,734,823,,647,424,889,837,565,484,151,523,239,249,275,152
2014,719,1019,564,483,152,324,742,824,,664,412,863,826,568,464,161,530,252,261,285,147
2015,712,1019,571,499,153,329,758,828,,686,416,875,817,579,469,160,528,265,272,281,155
2016,710,994,550,487,151,337,774,821,,677,413,888,794,586,482,151,528,276,267,278,149
2017,708,998,567,502,145,340,789,847,,697,401,892,779,595,501,156,534,280,263,276,145
2018,701,1007,557,488,138,338,789,838,,682,389,880,799,593,488,146,525,273,258,261,145
2019,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,
