,06002,06032,06037,06051,06052,06053,06067,06074,06101,06103,06105,06106,06108,06109,06110,06112,06114,06118,06119,06120,06422
2013,48.2,43.0,44.6,31.5,40.1,34.3,43.4,42.6,,31.3,33.4,29.8,36.2,44.4,38.9,28.2,30.2,40.8,38.9,29.3,42.5
2014,48.2,43.8,45.6,31.0,39.3,33.9,43.4,43.1,,31.2,33.3,29.9,36.0,45.3,38.5,28.6,30.7,41.1,38.1,28.8,43.8
2015,48.7,44.0,46.2,32.3,39.1,34.4,43.2,43.5,,33.2,34.2,29.6,35.9,44.5,40.1,29.1,29.3,40.8,38.2,29.1,43.8
2016,49.4,43.8,47.2,32.3,38.4,34.4,43.8,43.6,,33.8,34.3,30.2,35.3,45.0,39.8,29.4,30.0,40.8,37.1,28.6,45.1
2017,50.2,44.9,49.0,32.9,39.0,34.5,44.7,43.5,,31.7,32.7,31.2,34.7,44.8,38.2,31.6,31.0,40.9,37.5,27.1,45.8
2018,50.7,45.8,48.3,31.6,39.6,34.3,43.6,43.2,,31.4,32.7,32.6,34.3,44.9,37.6,33.4,31.2,40.6,37.1,27.6,46.6
2019,51.3,46.2,47.5,31.7,39.2,34.2,43.2,42.3,,31.6,33.5,32.7,34.2,44.5,39.1,34.4,31.8,40.3,35.2,28.6,47.1
2020,49.1,45.0,47.7,31.1,40.3,32.6,43.1,42.8,,33.0,33.8,34.0,34.5,44.7,40.0,36.4,32.6,40.0,33.8,29.8,45.8
