,44112,44104,44103,44106,44114
2013,53.9,68.0,51.3,71.2,60.7
2014,60.9,72.2,54.7,62.2,72.9
2015,54.5,67.9,52.2,59.4,64.9
2016,54.1,61.5,47.4,59.2,72.0
2017,47.8,61.1,46.8,61.3,77.8
2018,51.1,66.5,48.1,61.8,73.6
2019,58.2,61.8,44.2,71.5,79.3
2020,56.6,68.3,48.4,73.7,69.9
