,44112,44104,44103,44106,44114
2013,257,225,541,474,1427
2014,250,221,523,485,1456
2015,241,214,534,492,1475
2016,246,209,507,488,1494
2017,242,212,509,489,1502
2018,236,201,501,483,1443
2019,,,,,
2020,,,,,
